ADR|41.133,18.867 42.435,16.164 43.5,14.5 44.533,13.333 45.3,13.0 45.572,13.36 45.633,13.5 45.578,13.845 45.632,13.919 45.74,13.792 45.808,13.599 45.854,13.579 45.929,13.651 45.981,13.641 45.963,13.541 45.995,13.485 46.023,13.513 46.059,13.501 46.175,13.666 46.23,13.458 46.213,13.419 46.291,13.384 46.357,13.445 46.435,13.6 46.437,13.692 46.52,13.719 46.486,14.092 46.437,14.166 46.447,14.434 46.379,14.573 46.441,14.611 46.45,14.675 46.5,14.727 46.509,14.82 46.605,14.872 46.627,14.962 46.605,14.983 46.653,15.063 46.655,15.403 46.612,15.512 46.676,15.56 46.721,15.87 46.662,16.035 46.828,15.989 46.872,16.116 46.875,16.289 46.842,16.346 46.76,16.327 46.689,16.422 46.643,16.389 46.56,16.516 46.499,16.535 46.464,16.671 46.4,16.721 46.35,16.877 46.289,16.897 46.226,16.975 46.158,17.181 46.116,17.182 46.055,17.268 46.033,17.256 46.03,17.298 46.01,17.268 45.969,17.319 45.984,17.372 45.96,17.391 45.948,17.351 45.932,17.59 45.847,17.663 45.81,17.83 45.775,17.863 45.795,18.0 45.75,18.446 45.805,18.575 45.918,18.677 45.884,18.811 45.911,18.825 45.96,19.076 46.024,19.138 45.985,19.184 45.982,19.306 46.01,19.292 46.05,19.443 46.11,19.526 46.147,19.514 46.172,19.575 46.179,19.717 46.126,19.817 46.174,20.0 46.137,20.053 46.171,20.111 46.126,20.271 45.977,20.379 45.904,20.586 45.75,20.703 45.767,20.818 45.649,20.81 45.596,20.775 45.521,20.833 45.478,20.792 45.465,20.863 45.419,20.884 45.311,21.062 45.29,21.12 45.319,21.178 45.248,21.22 45.219,21.421 45.151,21.53 45.029,21.446 45.0,21.377 44.951,21.437 44.924,21.549 44.884,21.561 44.857,21.379 44.827,21.361 44.776,21.41 44.757,21.58 44.663,21.641 44.623,22.0 44.492,22.087 44.47,22.146 44.489,22.19 44.662,22.313 44.706,22.436 44.55,22.767 44.514,22.695 44.546,22.601 44.471,22.532 44.465,22.462 44.315,22.543 44.273,22.688 44.16,22.618 44.069,22.617 44.0,22.419 43.809,22.367 43.697,22.411 43.636,22.494 43.472,22.538 43.328,22.83 43.235,22.893 43.202,22.992 43.137,22.994 43.028,22.904 42.978,22.797 42.89,22.755 42.869,22.671 42.892,22.596 42.826,22.44 42.738,22.501 42.692,22.463 42.571,22.445 42.474,22.559 42.327,22.449 42.316,22.365 42.142,22.529 42.039,22.739 42.014,22.871 41.877,22.902 41.729,23.026 41.618,22.952 41.353,22.972 41.321,22.769 41.146,22.725 41.184,22.657 41.118,22.595 41.164,22.23 41.122,22.127 41.157,22.068 41.088,21.917 41.051,21.916 40.984,21.813 40.931,21.791 40.937,21.687 40.872,21.603 40.921,21.433 40.861,21.278 40.885,21.215 40.853,21.149 40.858,20.992 40.774,20.968 40.677,21.057 40.562,21.046 40.47,20.955 40.477,20.846 40.434,20.805 40.361,20.794 40.276,20.716 40.216,20.727 40.174,20.68 40.098,20.684 40.065,20.578 40.07,20.433 40.0,20.397 39.985,20.308 39.821,20.408 39.796,20.372 39.809,20.284 39.733,20.308 39.652,20.19 39.703,20.034 39.688,20.0 39.85,19.967 39.983,19.767 39.983,19.65 40.417,19.0 40.75,19.0 41.133,18.867
ADR-E|41.133,18.867 41.417,18.317 42.391,18.531 42.438,18.52 42.494,18.422 42.551,18.439 42.584,18.559 42.623,18.516 42.663,18.553 42.717,18.548 42.757,18.472 42.809,18.456 42.96,18.479 43.031,18.537 43.033,18.668 43.138,18.649 43.221,18.712 43.251,18.686 43.324,18.849 43.349,18.841 43.361,18.913 43.329,18.96 43.29,18.955 43.256,19.018 43.311,19.092 43.445,19.013 43.455,18.958 43.514,18.916 43.553,18.996 43.518,19.037 43.534,19.212 43.589,19.244 43.613,19.332 43.615,19.365 43.545,19.402 43.578,19.427 43.587,19.507 43.716,19.512 43.952,19.252 44.014,19.234 43.964,19.384 43.957,19.526 44.022,19.622 44.07,19.599 44.046,19.578 44.124,19.468 44.147,19.481 44.137,19.435 44.183,19.361 44.274,19.322 44.285,19.167 44.374,19.101 44.419,19.145 44.524,19.124 44.528,19.169 44.741,19.338 44.886,19.368 44.925,19.177 44.854,18.979 44.904,18.991 44.906,19.076 44.954,19.154 44.985,19.141 44.98,19.084 45.087,19.109 45.142,19.081 45.129,19.143 45.178,19.189 45.2,19.173 45.178,19.277 45.202,19.317 45.167,19.374 45.183,19.443 45.235,19.413 45.243,19.267 45.279,19.264 45.274,19.162 45.372,18.978 45.412,19.028 45.493,19.0 45.512,19.101 45.553,19.014 45.539,18.938 45.572,18.9 45.658,18.971 45.706,18.914 45.715,18.977 45.72,18.901 45.748,18.981 45.77,18.854 45.804,18.927 45.813,18.848 45.864,18.859 45.87,18.9 45.895,18.874 45.924,18.898 45.96,19.076 46.024,19.138 45.985,19.184 45.982,19.306 46.01,19.292 46.05,19.443 46.11,19.526 46.147,19.514 46.172,19.575 46.179,19.717 46.126,19.817 46.174,20.0 46.137,20.053 46.171,20.111 46.14,20.15 46.154,20.192 46.126,20.271 45.977,20.379 45.904,20.586 45.75,20.703 45.767,20.818 45.649,20.81 45.596,20.775 45.521,20.833 45.478,20.792 45.465,20.863 45.419,20.884 45.311,21.062 45.29,21.12 45.319,21.178 45.248,21.22 45.219,21.421 45.151,21.53 45.029,21.446 45.0,21.377 44.951,21.437 44.924,21.549 44.884,21.561 44.857,21.379 44.827,21.361 44.776,21.41 44.757,21.58 44.663,21.641 44.623,22.0 44.492,22.087 44.47,22.146 44.489,22.19 44.662,22.313 44.706,22.436 44.55,22.767 44.514,22.695 44.546,22.601 44.471,22.532 44.465,22.462 44.315,22.543 44.273,22.688 44.16,22.618 44.069,22.617 44.0,22.419 43.809,22.367 43.697,22.411 43.636,22.494 43.472,22.538 43.328,22.83 43.235,22.893 43.202,22.992 43.137,22.994 43.028,22.904 42.978,22.797 42.89,22.755 42.869,22.671 42.892,22.596 42.826,22.44 42.738,22.501 42.692,22.463 42.571,22.445 42.474,22.559 42.327,22.449 42.316,22.365 42.142,22.529 42.039,22.739 42.014,22.871 41.877,22.902 41.729,23.026 41.618,22.952 41.353,22.972 41.321,22.769 41.146,22.725 41.184,22.657 41.118,22.595 41.164,22.23 41.122,22.127 41.157,22.068 41.088,21.917 41.051,21.916 40.984,21.813 40.931,21.791 40.937,21.687 40.872,21.603 40.921,21.433 40.861,21.278 40.885,21.215 40.853,21.149 40.858,20.992 40.774,20.968 40.677,21.057 40.562,21.046 40.47,20.955 40.477,20.846 40.434,20.805 40.361,20.794 40.276,20.716 40.216,20.727 40.174,20.68 40.098,20.684 40.065,20.578 40.07,20.433 40.0,20.397 39.985,20.308 39.821,20.408 39.796,20.372 39.809,20.284 39.733,20.308 39.652,20.19 39.703,20.034 39.688,20.0 39.85,19.967 39.983,19.767 39.983,19.65 40.417,19.0 40.75,19.0 41.133,18.867
ADR-W|45.572,13.36 45.633,13.5 45.578,13.845 45.632,13.919 45.74,13.792 45.808,13.599 45.854,13.579 45.929,13.651 45.981,13.641 45.963,13.541 45.995,13.485 46.023,13.513 46.059,13.501 46.175,13.666 46.23,13.458 46.213,13.419 46.291,13.384 46.357,13.445 46.435,13.6 46.437,13.692 46.52,13.719 46.486,14.092 46.437,14.166 46.447,14.434 46.379,14.573 46.441,14.611 46.45,14.675 46.5,14.727 46.509,14.82 46.605,14.872 46.627,14.962 46.605,14.983 46.653,15.063 46.655,15.403 46.612,15.512 46.676,15.56 46.721,15.87 46.662,16.035 46.828,15.989 46.872,16.116 46.875,16.289 46.842,16.346 46.76,16.327 46.689,16.422 46.643,16.389 46.56,16.516 46.499,16.535 46.464,16.671 46.4,16.721 46.35,16.877 46.289,16.897 46.226,16.975 46.158,17.181 46.116,17.182 46.055,17.268 46.033,17.256 46.03,17.298 46.01,17.268 45.969,17.319 45.984,17.372 45.96,17.391 45.948,17.351 45.932,17.59 45.847,17.663 45.81,17.83 45.775,17.863 45.795,18.0 45.75,18.446 45.805,18.575 45.918,18.677 45.884,18.811 45.924,18.898 45.895,18.874 45.87,18.9 45.864,18.859 45.813,18.848 45.804,18.927 45.77,18.854 45.748,18.981 45.72,18.901 45.715,18.977 45.706,18.914 45.658,18.971 45.572,18.9 45.539,18.938 45.553,19.014 45.512,19.101 45.493,19.0 45.412,19.028 45.372,18.978 45.274,19.162 45.279,19.264 45.243,19.267 45.235,19.413 45.183,19.443 45.167,19.374 45.202,19.317 45.178,19.277 45.2,19.173 45.178,19.189 45.129,19.143 45.142,19.081 45.087,19.109 44.98,19.084 44.985,19.141 44.954,19.154 44.906,19.076 44.904,18.991 44.854,18.979 44.925,19.177 44.886,19.368 44.741,19.338 44.528,19.169 44.524,19.124 44.419,19.145 44.374,19.101 44.285,19.167 44.274,19.322 44.183,19.361 44.137,19.435 44.147,19.481 44.124,19.468 44.046,19.578 44.07,19.599 44.022,19.622 43.957,19.526 43.964,19.384 44.014,19.234 43.952,19.252 43.716,19.512 43.587,19.507 43.578,19.427 43.545,19.402 43.615,19.365 43.613,19.332 43.589,19.244 43.534,19.212 43.518,19.037 43.553,18.996 43.514,18.916 43.455,18.958 43.445,19.013 43.311,19.092 43.256,19.018 43.29,18.955 43.329,18.96 43.361,18.913 43.349,18.841 43.324,18.849 43.251,18.686 43.221,18.712 43.138,18.649 43.033,18.668 43.031,18.537 42.96,18.479 42.809,18.456 42.757,18.472 42.717,18.548 42.663,18.553 42.623,18.516 42.584,18.559 42.551,18.439 42.494,18.422 42.438,18.52 42.391,18.531 41.417,18.317 42.435,16.164 43.5,14.5 44.533,13.333 45.3,13.0 45.572,13.36
AGGG|-4.833,159.0 -6.55,156.037 -6.663,156.04 -6.847,155.923 -6.927,155.693 -6.927,155.593 -7.317,155.0 -14.0,155.0 -14.0,163.0 -11.8,166.875 -10.5,166.75 -4.833,160.0 -4.833,159.0
ANAU|3.5,160.0 -4.833,160.0 -10.5,166.75 -11.8,166.875 -10.0,170.0 3.5,170.0 3.5,160.0
AYPM|0.0,141.0 0.0,160.0 -4.833,160.0 -4.833,159.0 -6.55,156.037 -6.663,156.04 -6.847,155.923 -6.927,155.693 -6.927,155.593 -7.317,155.0 -12.0,155.0 -12.0,144.0 -11.725,144.072 -11.493,144.025 -11.185,144.072 -10.778,144.0 -10.519,143.911 -10.297,143.912 -10.088,143.981 -9.943,144.089 -9.4,144.233 -9.133,143.875 -9.377,142.558 -9.368,142.495 -9.19,142.215 -9.617,141.033 -6.893,141.018 -6.842,140.898 -6.604,140.87 -6.317,141.0 0.0,141.0
BAIRES|-33.833,-58.517 -34.049,-59.147 -34.237,-59.395 -34.472,-59.575 -34.72,-59.645 -35.028,-59.614 -35.202,-59.553 -35.458,-59.351 -35.56,-59.195 -35.669,-58.935 -35.735,-58.607 -35.708,-58.245 -35.628,-58.002 -35.458,-57.745 -35.3,-57.584 -35.082,-57.459 -35.069,-56.722 -34.583,-57.833 -34.0,-58.4 -33.833,-58.517
BGGL|82.0,30.0 82.0,0.0 73.0,0.0 73.0,-20.0 70.0,-20.0 66.75,-30.0 58.5,-43.0 58.5,-50.0 63.5,-55.667 65.0,-57.75 70.5,-64.0 76.0,-76.0 78.0,-75.0 82.0,-60.0 90.0,-60.0 90.0,30.0 82.0,30.0
BIRD|66.75,-30.0 66.954,-31.0 68.25,-40.0 70.25,-50.0 70.5,-64.0 65.0,-57.75 63.5,-55.667 63.5,-39.0 61.0,-30.0 61.0,-10.0 60.667,-10.0 61.0,-7.0 61.0,0.0 65.75,0.0 66.75,-10.0 66.75,-30.0
BIRD-E|61.0,0.0 65.75,0.0 66.75,-10.0 66.75,-15.177 66.0,-14.0 63.823,-11.882 61.0,-10.0 60.667,-10.0 61.0,-7.0 61.0,0.0
