ADR_U|Adria Radar Upper|LJLA,LDZO,LQSB,LYBA,LWSS,LAAA
AFRC|Africa Central Control|FLFI,FNAN,FSSS,FWLL,FZZA,HKNA,HTDC,HUEC
AFRE|East Africa Control|HAAA,HCSM,HHAA,HSSS,HJJJ
AFRE_E|East Africa Control|HAAA,HCSM
AFRE_W|East Africa Control|HHAA,HSSS,HJJJ
AFRN|North Africa Control|DAAA,DRRR,DTTC,FTTT,GMMM,HLLL,GMAC
AFRN_E|North Africa Control|DTTC,FTTT,HLLL
AFRN_W|North Africa Control|DAAA,DRRR,GMMM,GMAC
AFRS|Africa South Control|FACA,FAJA,FBGR,FIMM,FMMM,FQBE,FVHF,FYWF
AFRW|Africa West Control|DGAC,DGAO,DIII,DNKK,FCCC,GLRB,GOOO,GOOC,GVSC
ANT|Antilles Center|MDCS,MTEG
ASEA|South East Asia Control|VHHK,WSJC,WMFC,WBFC,WIIF,WAAF,RPHI,VVHM,VDPF,VTBB,VVHN,VLVT,VYYF
ASEA_N|South East Asia Control|VHHK,RPHI,VVHM,VTBB,VVHN,VLVT,VDPF
ASEA_S|South East Asia Control|WSJC,WMFC,WBFC,WIIF,WAAF
ASIA|West Asia Control|VABF,VIDF,VECF,VOMF,VEGF,OPKR,OPLR,OAKX,VCCF,VRMF,VGFR,VNSM
BALT|Baltic Control|EYVL,EVRR,EETT
BICC|Iceland Radio|BIRD-E,BIRD-N,BIRD-S,BIRD-W
CARE|Caribbean Control East|MDCS,TJZS,TTZP
CARI|Caribbean Control|MUFH,MKJK,MTEG,MDCS,TNCF,TJZS,TTZP
CARW|Caribbean Control West|MUFH,MKJK,MTEG,TNCF
EUC-EN|Eurocontrol|EPWW,LKAA,LZBB,LHCC
EUC-ES|Eurocontrol|LIPP,LJLA,LDZO,LQSB,LIBB,LIRR,LMMM
EUC-ME|Maastricht|EDWW-BOR,EDMM,EDGG-BAD,EDGG-DKB,EDGG-GIN,EDGG-RUD,LOVV
EUC-MW|Maastricht|EDGG-PAH,EDWW-ALR,EHAA,EBBU
EUC-SE|Eurocontrol|LTAA,LTBB,LCCC
EUC-SW|Eurocontrol|LRBB,LUUU,LBSR,LYBA,LGGG,LAAA,LWSS
EUC-WN|Eurocontrol|LFBB,LFEE,LFMM,LFRR,LIMM,LSAS
EUC-WS|Eurocontrol|LPPC,LECM,LECB,LECS
EURN|EuroNorth|EKDK,EETT,EFIN,EVRR,EYVL,ENBD,ENOS,ENSV,ESOS
GULF|Gulf Control|OIIX,ORBB,OSTT,OEJD,OKAC,OBBB,OMAE,OYSC,OOMM,OJAC,OLBB,HECC,OTDF
GULF_E|Gulf Control|OBBB,OIIX,OKAC,OMAE,OOMM,ORBB,OTDF
GULF_W|Gulf Control|HECC,OEJD,OJAC,OLBB,OSTT,OYSC
LFUP|France Control|LFMM,LFFF,LFEE,LFBB,LFRR
LIUP|Italy Radar|LIMM,LIBB,LIRR,LIPP
PRC|Beijing Control|ZBPE,ZGZU,ZJSA,ZLHW,ZPKM,ZSHA,ZWUQ,ZYSH
RU-CEN|Asia-Center|UATT,UACN,UAAA,UTAK,UTAA,UTAT,UTAV,UZSD,UZTR,UAII,UCFO,UTDD,UCFM
RU-ERC|Eastern Russia Control|UEEE,UHHH,UHMM
RU-ESC|Siberia Control|UNKL,UNNT,UIII
RU-NWC|North Western Russia Control|ULLL,UMKK
RU-SC|Caucasus-Radar|URRV,UGGG,UDDD,UBBA
RU-WRC|Western Russia Control|UMMV,UUWV,UWWW
RU-WSC|Western Siberia Control|USTV,USSV
SAM-E|South America Control - East|SBCW,SBAZ,SBRE,SBBS
SAM-N|South America Control North|SEFG,SKED,SKEC,MPZL,MHCC,SVZM,SYGC,SMPM,SOOO
SAM-S|South America Control South|SUEO,SGFA,SAEF,SARR,SACF,SAMF,SAVF
SAM-W|South America Control West|SCEZ,SCTZ,SCCZ,SCFZ,SLLF,SPIM
